西元年,月,日,星期,總運量
2016,12,01,四,2148344
2016,12,02,五,2378002
2016,12,03,六,2269265
2016,12,04,日,1891798
2016,12,05,一,2093921
2016,12,06,二,2129652
2016,12,07,三,2174319
2016,12,08,四,2180559
2016,12,09,五,2433538
2016,12,10,六,2447633
2016,12,11,日,1925190
2016,12,12,一,2144510
2016,12,13,二,2148969
2016,12,14,三,2164732
2016,12,15,四,2202425
2016,12,16,五,2461785
2016,12,17,六,2397963
2016,12,18,日,2035600
2016,12,19,一,2146537
2016,12,20,二,2186131
2016,12,21,三,2206506
2016,12,22,四,2246421
2016,12,23,五,2539837
2016,12,24,六,2429286
2016,12,25,日,2123416
2016,12,26,一,2132507
2016,12,27,二,2172121
2016,12,28,三,2219320
2016,12,29,四,2247334
2016,12,30,五,2457300
2016,12,31,六,2640393
