西元年,月,日,星期,總運量
2016,08,01,一,2024048
2016,08,02,二,2044790
2016,08,03,三,2068432
2016,08,04,四,2095718
2016,08,05,五,2250765
2016,08,06,六,1926113
2016,08,07,日,1616707
2016,08,08,一,2002855
2016,08,09,二,2102402
2016,08,10,三,2136288
2016,08,11,四,2148121
2016,08,12,五,2296179
2016,08,13,六,2024714
2016,08,14,日,1751907
2016,08,15,一,2084316
2016,08,16,二,2099395
2016,08,17,三,2023387
2016,08,18,四,2131199
2016,08,19,五,2243406
2016,08,20,六,1980454
2016,08,21,日,1709172
2016,08,22,一,2034753
2016,08,23,二,2097749
2016,08,24,三,2136471
2016,08,25,四,2128694
2016,08,26,五,2243950
2016,08,27,六,1957100
2016,08,28,日,1608973
2016,08,29,一,2027089
2016,08,30,二,2041931
2016,08,31,三,2066324
