西元年,月,日,星期,總運量
2023,02,01,三,2023672
2023,02,02,四,1998134
2023,02,03,五,2139509
2023,02,04,六,2137068
2023,02,05,日,1519885
2023,02,06,一,2009911
2023,02,07,二,2080820
2023,02,08,三,2125207
2023,02,09,四,2147007
2023,02,10,五,2259225
2023,02,11,六,2108319
2023,02,12,日,1649207
2023,02,13,一,2055446
2023,02,14,二,2104954
2023,02,15,三,2109723
2023,02,16,四,2163261
2023,02,17,五,2319358
2023,02,18,六,2287384
2023,02,19,日,1630072
2023,02,20,一,2033153
2023,02,21,二,2094357
2023,02,22,三,2121864
2023,02,23,四,2129212
2023,02,24,五,2285131
2023,02,25,六,1717680
2023,02,26,日,1594468
2023,02,27,一,1745939
2023,02,28,二,1501044
