西元年,月,日,星期,總運量
2025,03,01,六,1881018
2025,03,02,日,1596163
2025,03,03,一,2180719
2025,03,04,二,2219921
2025,03,05,三,2269197
2025,03,06,四,2299582
2025,03,07,五,2479594
2025,03,08,六,1967951
2025,03,09,日,1671590
2025,03,10,一,2228348
2025,03,11,二,2290380
2025,03,12,三,2322591
2025,03,13,四,2243004
2025,03,14,五,2470174
2025,03,15,六,1825241
2025,03,16,日,1696403
2025,03,17,一,2201449
2025,03,18,二,2280395
2025,03,19,三,2291999
2025,03,20,四,2359685
2025,03,21,五,2525400
2025,03,22,六,2082910
2025,03,23,日,1706063
2025,03,24,一,2214890
2025,03,25,二,2296341
2025,03,26,三,2328404
2025,03,27,四,2340288
2025,03,28,五,2474347
2025,03,29,六,1973844
2025,03,30,日,1481845
2025,03,31,一,2163210
