西元年,月,日,星期,總運量
2016,09,01,四,2071956
2016,09,02,五,2222173
2016,09,03,六,2092500
2016,09,04,日,1672593
2016,09,05,一,2051581
2016,09,06,二,2072117
2016,09,07,三,2107294
2016,09,08,四,2124783
2016,09,09,五,2227394
2016,09,10,六,2152507
2016,09,11,日,1788368
2016,09,12,一,2115828
2016,09,13,二,2135404
2016,09,14,三,2009847
2016,09,15,四,1291609
2016,09,16,五,1594095
2016,09,17,六,856176
2016,09,18,日,1528804
2016,09,19,一,2033796
2016,09,20,二,2075592
2016,09,21,三,2099653
2016,09,22,四,2097947
2016,09,23,五,2295456
2016,09,24,六,2067411
2016,09,25,日,1695194
2016,09,26,一,2050059
2016,09,27,二,150242
2016,09,28,三,1133027
2016,09,29,四,2104662
2016,09,30,五,2311381
