西元年,月,日,星期,總運量
2015,02,01,日,1674182
2015,02,02,一,1964993
2015,02,03,二,2043308
2015,02,04,三,2037181
2015,02,05,四,2070304
2015,02,06,五,2217979
2015,02,07,六,1971770
2015,02,08,日,1677919
2015,02,09,一,2023553
2015,02,10,二,2152075
2015,02,11,三,2174660
2015,02,12,四,2191011
2015,02,13,五,2310343
2015,02,14,六,1972064
2015,02,15,日,1636321
2015,02,16,一,2007257
2015,02,17,二,1761184
2015,02,18,三,751526
2015,02,19,四,1342552
2015,02,20,五,1356261
2015,02,21,六,1678593
2015,02,22,日,1653840
2015,02,23,一,1578871
2015,02,24,二,1980871
2015,02,25,三,2037969
2015,02,26,四,2152779
2015,02,27,五,2031991
2015,02,28,六,2081276
