西元年,月,日,星期,總運量
2019,01,01,二,1628886
2019,01,02,三,2252978
2019,01,03,四,2269048
2019,01,04,五,2448988
2019,01,05,六,1951667
2019,01,06,日,1557160
2019,01,07,一,2185682
2019,01,08,二,2222106
2019,01,09,三,2244563
2019,01,10,四,2290502
2019,01,11,五,2494932
2019,01,12,六,2074242
2019,01,13,日,1773966
2019,01,14,一,2192358
2019,01,15,二,2232255
2019,01,16,三,2243466
2019,01,17,四,2269923
2019,01,18,五,2526685
2019,01,19,六,2351756
2019,01,20,日,1841643
2019,01,21,一,2241036
2019,01,22,二,2256106
2019,01,23,三,2315776
2019,01,24,四,2334810
2019,01,25,五,2513568
2019,01,26,六,2172969
2019,01,27,日,1896648
2019,01,28,一,2303673
2019,01,29,二,2288084
2019,01,30,三,2321252
2019,01,31,四,2306449
