西元年,月,日,星期,總運量
2018,08,01,三,2138668
2018,08,02,四,2162278
2018,08,03,五,2286623
2018,08,04,六,1901059
2018,08,05,日,1682194
2018,08,06,一,2101574
2018,08,07,二,2169044
2018,08,08,三,2150784
2018,08,09,四,2197511
2018,08,10,五,2356231
2018,08,11,六,1996335
2018,08,12,日,1684264
2018,08,13,一,2136361
2018,08,14,二,2197576
2018,08,15,三,2216779
2018,08,16,四,2246552
2018,08,17,五,2370889
2018,08,18,六,2014748
2018,08,19,日,1683467
2018,08,20,一,2112543
2018,08,21,二,2140829
2018,08,22,三,2173958
2018,08,23,四,2167639
2018,08,24,五,2259305
2018,08,25,六,1736586
2018,08,26,日,1631422
2018,08,27,一,2101189
2018,08,28,二,2127032
2018,08,29,三,2119043
2018,08,30,四,2124015
2018,08,31,五,2297374
