西元年,月,日,星期,總運量
2019,05,01,三,1853602
2019,05,02,四,2322312
2019,05,03,五,2535932
2019,05,04,六,2088661
2019,05,05,日,1821025
2019,05,06,一,2228204
2019,05,07,二,2237322
2019,05,08,三,2254609
2019,05,09,四,2283830
2019,05,10,五,2483610
2019,05,11,六,1986173
2019,05,12,日,1662626
2019,05,13,一,2161724
2019,05,14,二,2197050
2019,05,15,三,2237950
2019,05,16,四,2239652
2019,05,17,五,2461059
2019,05,18,六,2109137
2019,05,19,日,1824522
2019,05,20,一,2112820
2019,05,21,二,2209551
2019,05,22,三,2226022
2019,05,23,四,2241168
2019,05,24,五,2446566
2019,05,25,六,2126695
2019,05,26,日,1751235
2019,05,27,一,2135073
2019,05,28,二,2178640
2019,05,29,三,2276928
2019,05,30,四,2294240
2019,05,31,五,2482914
