西元年,月,日,星期,總運量
2017,04,01,六,1822636
2017,04,02,日,1773319
2017,04,03,一,1712219
2017,04,04,二,1460361
2017,04,05,三,2059486
2017,04,06,四,2132098
2017,04,07,五,2336863
2017,04,08,六,2044515
2017,04,09,日,1772088
2017,04,10,一,2082153
2017,04,11,二,2145232
2017,04,12,三,2180774
2017,04,13,四,2180977
2017,04,14,五,2362235
2017,04,15,六,2063462
2017,04,16,日,1731476
2017,04,17,一,2048873
2017,04,18,二,2086681
2017,04,19,三,2139074
2017,04,20,四,2146441
2017,04,21,五,2364951
2017,04,22,六,2019041
2017,04,23,日,1754781
2017,04,24,一,2050920
2017,04,25,二,2095866
2017,04,26,三,2116414
2017,04,27,四,2158321
2017,04,28,五,2361961
2017,04,29,六,2031281
2017,04,30,日,1800071
