西元年,月,日,星期,總運量
2018,07,01,日,1646887
2018,07,02,一,2099540
2018,07,03,二,2123857
2018,07,04,三,2148260
2018,07,05,四,2173878
2018,07,06,五,2335565
2018,07,07,六,1937749
2018,07,08,日,1679477
2018,07,09,一,2154085
2018,07,10,二,1710138
2018,07,11,三,1482047
2018,07,12,四,2197522
2018,07,13,五,2372122
2018,07,14,六,1957895
2018,07,15,日,1676915
2018,07,16,一,2112468
2018,07,17,二,2165973
2018,07,18,三,2183304
2018,07,19,四,2184948
2018,07,20,五,2324540
2018,07,21,六,1898282
2018,07,22,日,1642737
2018,07,23,一,2095004
2018,07,24,二,2117995
2018,07,25,三,2159663
2018,07,26,四,2180673
2018,07,27,五,2297693
2018,07,28,六,1989618
2018,07,29,日,1684469
2018,07,30,一,2082427
2018,07,31,二,2141941
