西元年,月,日,星期,總運量
2017,10,01,日,1660582
2017,10,02,一,2076454
2017,10,03,二,2216893
2017,10,04,三,1402500
2017,10,05,四,2129030
2017,10,06,五,2308076
2017,10,07,六,1829678
2017,10,08,日,1693153
2017,10,09,一,1690483
2017,10,10,二,1523930
2017,10,11,三,2051915
2017,10,12,四,2074510
2017,10,13,五,2245208
2017,10,14,六,1704860
2017,10,15,日,1510202
2017,10,16,一,2076568
2017,10,17,二,2117767
2017,10,18,三,2146184
2017,10,19,四,2173660
2017,10,20,五,2358215
2017,10,21,六,2069982
2017,10,22,日,1787401
2017,10,23,一,2076072
2017,10,24,二,2112018
2017,10,25,三,2147053
2017,10,26,四,2163710
2017,10,27,五,2378397
2017,10,28,六,2103855
2017,10,29,日,1771333
2017,10,30,一,2098516
2017,10,31,二,2103407
