西元年,月,日,星期,總運量
2018,02,01,四,2195868
2018,02,02,五,2340388
2018,02,03,六,1834349
2018,02,04,日,1567737
2018,02,05,一,2148007
2018,02,06,二,2226573
2018,02,07,三,2232769
2018,02,08,四,2300141
2018,02,09,五,2451371
2018,02,10,六,1984652
2018,02,11,日,1746239
2018,02,12,一,2230628
2018,02,13,二,2194814
2018,02,14,三,1987693
2018,02,15,四,829655
2018,02,16,五,1421887
2018,02,17,六,1459981
2018,02,18,日,1748528
2018,02,19,一,1769700
2018,02,20,二,1597499
2018,02,21,三,2051668
2018,02,22,四,2131082
2018,02,23,五,2315585
2018,02,24,六,2039735
2018,02,25,日,1678779
2018,02,26,一,2184581
2018,02,27,二,2348613
2018,02,28,三,1690886
