西元年,月,日,星期,總運量
2023,01,01,日,1474502
2023,01,02,一,1254972
2023,01,03,二,1995196
2023,01,04,三,2023801
2023,01,05,四,2045427
2023,01,06,五,2155358
2023,01,07,六,2014219
2023,01,08,日,1448566
2023,01,09,一,1982168
2023,01,10,二,2022906
2023,01,11,三,2054177
2023,01,12,四,2078503
2023,01,13,五,2204798
2023,01,14,六,1764345
2023,01,15,日,1403617
2023,01,16,一,2023586
2023,01,17,二,2071902
2023,01,18,三,2093895
2023,01,19,四,2124318
2023,01,20,五,1141551
2023,01,21,六,678123
2023,01,22,日,1186130
2023,01,23,一,1085907
2023,01,24,二,1077470
2023,01,25,三,1287408
2023,01,26,四,1502305
2023,01,27,五,1450330
2023,01,28,六,1495065
2023,01,29,日,1388536
2023,01,30,一,1946630
2023,01,31,二,2026675
