西元年,月,日,星期,總運量
2023,10,01,日,1366488
2023,10,02,一,2051687
2023,10,03,二,2103510
2023,10,04,三,2064996
2023,10,05,四,2056375
2023,10,06,五,2297772
2023,10,07,六,1782614
2023,10,08,日,1566820
2023,10,09,一,1564545
2023,10,10,二,1357852
2023,10,11,三,2099483
2023,10,12,四,2144230
2023,10,13,五,2301398
2023,10,14,六,1875612
2023,10,15,日,1555977
2023,10,16,一,2057570
2023,10,17,二,2143753
2023,10,18,三,2185548
2023,10,19,四,2193952
2023,10,20,五,2368355
2023,10,21,六,1898223
2023,10,22,日,1600494
2023,10,23,一,2090014
2023,10,24,二,2132283
2023,10,25,三,2172892
2023,10,26,四,2183880
2023,10,27,五,2350478
2023,10,28,六,1909644
2023,10,29,日,1527848
2023,10,30,一,2072738
2023,10,31,二,2137181
