西元年,月,日,星期,總運量
2019,10,01,二,2292880
2019,10,02,三,2320208
2019,10,03,四,2350820
2019,10,04,五,2471547
2019,10,05,六,2461004
2019,10,06,日,1826012
2019,10,07,一,2242657
2019,10,08,二,2298581
2019,10,09,三,2452474
2019,10,10,四,1942428
2019,10,11,五,1959026
2019,10,12,六,1961987
2019,10,13,日,1708211
2019,10,14,一,2187500
2019,10,15,二,2231028
2019,10,16,三,2278993
2019,10,17,四,2314569
2019,10,18,五,2495506
2019,10,19,六,2148575
2019,10,20,日,1854954
2019,10,21,一,2231596
2019,10,22,二,2288077
2019,10,23,三,2306153
2019,10,24,四,2315146
2019,10,25,五,2530722
2019,10,26,六,2316211
2019,10,27,日,1844947
2019,10,28,一,2223379
2019,10,29,二,2247981
2019,10,30,三,2275598
2019,10,31,四,2306005
