西元年,月,日,星期,總運量
2017,07,01,六,1823735
2017,07,02,日,1645742
2017,07,03,一,2027481
2017,07,04,二,2058874
2017,07,05,三,2109689
2017,07,06,四,2122725
2017,07,07,五,2255318
2017,07,08,六,1916294
2017,07,09,日,1665436
2017,07,10,一,2075230
2017,07,11,二,2108257
2017,07,12,三,2141607
2017,07,13,四,2166236
2017,07,14,五,2256065
2017,07,15,六,1927884
2017,07,16,日,1660860
2017,07,17,一,2048678
2017,07,18,二,2091666
2017,07,19,三,2086101
2017,07,20,四,2108438
2017,07,21,五,2227440
2017,07,22,六,1863279
2017,07,23,日,1609468
2017,07,24,一,2018266
2017,07,25,二,2071378
2017,07,26,三,2087148
2017,07,27,四,2101679
2017,07,28,五,2207754
2017,07,29,六,1318726
2017,07,30,日,1057068
2017,07,31,一,1987474
