西元年,月,日,星期,總運量
2015,03,01,日,1715067
2015,03,02,一,1994187
2015,03,03,二,2054679
2015,03,04,三,2074934
2015,03,05,四,2081005
2015,03,06,五,2303705
2015,03,07,六,2165069
2015,03,08,日,1856581
2015,03,09,一,1976908
2015,03,10,二,2043045
2015,03,11,三,2074794
2015,03,12,四,2089203
2015,03,13,五,2277913
2015,03,14,六,2130819
2015,03,15,日,1752420
2015,03,16,一,1986568
2015,03,17,二,2023027
2015,03,18,三,2074299
2015,03,19,四,2074453
2015,03,20,五,2261770
2015,03,21,六,1996906
2015,03,22,日,1642602
2015,03,23,一,1955818
2015,03,24,二,2027070
2015,03,25,三,2075806
2015,03,26,四,2102538
2015,03,27,五,2306849
2015,03,28,六,2042943
2015,03,29,日,1723325
2015,03,30,一,1962335
2015,03,31,二,2001689
