西元年,月,日,星期,總運量
2023,07,01,六,1661151
2023,07,02,日,1378618
2023,07,03,一,1949879
2023,07,04,二,1994693
2023,07,05,三,2033132
2023,07,06,四,2020030
2023,07,07,五,2135757
2023,07,08,六,1710882
2023,07,09,日,1396508
2023,07,10,一,1935028
2023,07,11,二,1970586
2023,07,12,三,2033668
2023,07,13,四,2026026
2023,07,14,五,2200004
2023,07,15,六,1746549
2023,07,16,日,1492344
2023,07,17,一,1943824
2023,07,18,二,1999404
2023,07,19,三,2054351
2023,07,20,四,2023324
2023,07,21,五,2161715
2023,07,22,六,1681307
2023,07,23,日,1427537
2023,07,24,一,1947358
2023,07,25,二,2023001
2023,07,26,三,1846445
2023,07,27,四,1887356
2023,07,28,五,2168825
2023,07,29,六,1758680
2023,07,30,日,1445167
2023,07,31,一,1993040
