西元年,月,日,星期,總運量
2015,01,01,四,1796950
2015,01,02,五,1830184
2015,01,03,六,1802037
2015,01,04,日,1585463
2015,01,05,一,1915326
2015,01,06,二,1945591
2015,01,07,三,1965860
2015,01,08,四,1987913
2015,01,09,五,2163929
2015,01,10,六,1897089
2015,01,11,日,1551238
2015,01,12,一,1935793
2015,01,13,二,1954358
2015,01,14,三,1969032
2015,01,15,四,2003565
2015,01,16,五,2212934
2015,01,17,六,1884434
2015,01,18,日,1631624
2015,01,19,一,1913736
2015,01,20,二,2012293
2015,01,21,三,1976113
2015,01,22,四,1992942
2015,01,23,五,2142013
2015,01,24,六,1901482
2015,01,25,日,1596872
2015,01,26,一,1904495
2015,01,27,二,2055511
2015,01,28,三,2022619
2015,01,29,四,2041400
2015,01,30,五,2148037
2015,01,31,六,1951006
