西元年,月,日,星期,總運量
2016,11,01,二,2074134
2016,11,02,三,2078904
2016,11,03,四,2098384
2016,11,04,五,2332643
2016,11,05,六,2091304
2016,11,06,日,1766270
2016,11,07,一,2061076
2016,11,08,二,2059786
2016,11,09,三,2089842
2016,11,10,四,2192592
2016,11,11,五,2319395
2016,11,12,六,2085592
2016,11,13,日,1776001
2016,11,14,一,2061484
2016,11,15,二,2099359
2016,11,16,三,2130798
2016,11,17,四,2166097
2016,11,18,五,2391424
2016,11,19,六,2124667
2016,11,20,日,1812300
2016,11,21,一,2122039
2016,11,22,二,2116384
2016,11,23,三,2160285
2016,11,24,四,2182983
2016,11,25,五,2367231
2016,11,26,六,2063926
2016,11,27,日,1637477
2016,11,28,一,2089090
2016,11,29,二,2108285
2016,11,30,三,2136271
