西元年,月,日,星期,總運量
2017,08,01,二,2056366
2017,08,02,三,2044076
2017,08,03,四,2108052
2017,08,04,五,2222245
2017,08,05,六,1916078
2017,08,06,日,1628695
2017,08,07,一,2044614
2017,08,08,二,2043332
2017,08,09,三,2120292
2017,08,10,四,2159835
2017,08,11,五,2289133
2017,08,12,六,2010445
2017,08,13,日,1692212
2017,08,14,一,2052866
2017,08,15,二,2118871
2017,08,16,三,2102736
2017,08,17,四,2117383
2017,08,18,五,2246447
2017,08,19,六,1951490
2017,08,20,日,1697393
2017,08,21,一,2049124
2017,08,22,二,2073977
2017,08,23,三,2133513
2017,08,24,四,2142075
2017,08,25,五,2274103
2017,08,26,六,2062138
2017,08,27,日,1679329
2017,08,28,一,2116191
2017,08,29,二,2058000
2017,08,30,三,2066843
2017,08,31,四,2060866
