西元年,月,日,星期,總運量
2017,06,01,四,2108733
2017,06,02,五,2065402
2017,06,03,六,1961183
2017,06,04,日,1509777
2017,06,05,一,2038718
2017,06,06,二,2077458
2017,06,07,三,2099442
2017,06,08,四,2097434
2017,06,09,五,2290857
2017,06,10,六,2028284
2017,06,11,日,1666129
2017,06,12,一,2031091
2017,06,13,二,2068320
2017,06,14,三,2052846
2017,06,15,四,2151131
2017,06,16,五,2275052
2017,06,17,六,1745484
2017,06,18,日,1504619
2017,06,19,一,2045553
2017,06,20,二,2067290
2017,06,21,三,2115676
2017,06,22,四,2142092
2017,06,23,五,2301901
2017,06,24,六,1943189
2017,06,25,日,1665792
2017,06,26,一,2014810
2017,06,27,二,2053167
2017,06,28,三,2072841
2017,06,29,四,2089302
2017,06,30,五,2316429
