西元年,月,日,星期,總運量
2015,12,01,二,2007814
2015,12,02,三,2056934
2015,12,03,四,2081596
2015,12,04,五,2300963
2015,12,05,六,2154767
2015,12,06,日,1725955
2015,12,07,一,2027995
2015,12,08,二,2070285
2015,12,09,三,2101330
2015,12,10,四,2131373
2015,12,11,五,2342559
2015,12,12,六,2201670
2015,12,13,日,1888303
2015,12,14,一,2067831
2015,12,15,二,2089276
2015,12,16,三,2102334
2015,12,17,四,2140498
2015,12,18,五,2367580
2015,12,19,六,2241560
2015,12,20,日,1896688
2015,12,21,一,2077206
2015,12,22,二,2107234
2015,12,23,三,2185687
2015,12,24,四,2250695
2015,12,25,五,2448812
2015,12,26,六,2132266
2015,12,27,日,1727389
2015,12,28,一,2134250
2015,12,29,二,2182188
2015,12,30,三,2270704
2015,12,31,四,3028347
