西元年,月,日,星期,總運量
2024,12,01,日,1729757
2024,12,02,一,2208269
2024,12,03,二,2266279
2024,12,04,三,2307073
2024,12,05,四,2377657
2024,12,06,五,2585953
2024,12,07,六,2204954
2024,12,08,日,1786863
2024,12,09,一,2234840
2024,12,10,二,2302680
2024,12,11,三,2328307
2024,12,12,四,2346964
2024,12,13,五,2538754
2024,12,14,六,2160772
2024,12,15,日,1818825
2024,12,16,一,2224572
2024,12,17,二,2307422
2024,12,18,三,2333648
2024,12,19,四,2338306
2024,12,20,五,2605786
2024,12,21,六,2128058
2024,12,22,日,1813358
2024,12,23,一,2309131
2024,12,24,二,2408807
2024,12,25,三,2454140
2024,12,26,四,2385354
2024,12,27,五,2572880
2024,12,28,六,2080877
2024,12,29,日,1776518
2024,12,30,一,2329634
2024,12,31,二,3126858
