西元年,月,日,星期,總運量
2024,07,01,一,2012703
2024,07,02,二,2042685
2024,07,03,三,2089411
2024,07,04,四,2087387
2024,07,05,五,2240145
2024,07,06,六,1759996
2024,07,07,日,1474720
2024,07,08,一,2006291
2024,07,09,二,2078979
2024,07,10,三,2089644
2024,07,11,四,2154830
2024,07,12,五,2244585
2024,07,13,六,1796505
2024,07,14,日,1544134
2024,07,15,一,2049265
2024,07,16,二,2101051
2024,07,17,三,2157688
2024,07,18,四,2126379
2024,07,19,五,2247649
2024,07,20,六,1821895
2024,07,21,日,1513048
2024,07,22,一,2030240
2024,07,23,二,2065940
2024,07,24,三,275223
2024,07,25,四,506206
2024,07,26,五,2350947
2024,07,27,六,1894799
2024,07,28,日,1619713
2024,07,29,一,2152458
2024,07,30,二,2126630
2024,07,31,三,2183628
