西元年,月,日,星期,總運量
2018,05,01,二,1830443
2018,05,02,三,2149852
2018,05,03,四,2173771
2018,05,04,五,2401476
2018,05,05,六,2050466
2018,05,06,日,1751591
2018,05,07,一,2122472
2018,05,08,二,2147879
2018,05,09,三,2181976
2018,05,10,四,2205698
2018,05,11,五,2400041
2018,05,12,六,1939125
2018,05,13,日,1614869
2018,05,14,一,2089882
2018,05,15,二,2122561
2018,05,16,三,2137588
2018,05,17,四,2150279
2018,05,18,五,2393201
2018,05,19,六,2028726
2018,05,20,日,1759232
2018,05,21,一,2091554
2018,05,22,二,2131468
2018,05,23,三,2132584
2018,05,24,四,2173502
2018,05,25,五,2376873
2018,05,26,六,2136526
2018,05,27,日,1765091
2018,05,28,一,2114586
2018,05,29,二,2119968
2018,05,30,三,2135388
2018,05,31,四,2150649
