西元年,月,日,星期,總運量
2019,06,01,六,2149155
2019,06,02,日,1713842
2019,06,03,一,2179379
2019,06,04,二,2215656
2019,06,05,三,2270143
2019,06,06,四,2396157
2019,06,07,五,1548142
2019,06,08,六,1802883
2019,06,09,日,1666067
2019,06,10,一,2169406
2019,06,11,二,2176509
2019,06,12,三,2250689
2019,06,13,四,2254263
2019,06,14,五,2428458
2019,06,15,六,2094047
2019,06,16,日,1753648
2019,06,17,一,2168868
2019,06,18,二,2202277
2019,06,19,三,2248969
2019,06,20,四,2272541
2019,06,21,五,2442732
2019,06,22,六,1975156
2019,06,23,日,1639811
2019,06,24,一,2154830
2019,06,25,二,2183938
2019,06,26,三,2228887
2019,06,27,四,2222730
2019,06,28,五,2456641
2019,06,29,六,1960312
2019,06,30,日,1673669
