西元年,月,日,星期,總運量
2015,06,01,一,1924451
2015,06,02,二,1972450
2015,06,03,三,2021093
2015,06,04,四,2030356
2015,06,05,五,2232110
2015,06,06,六,1951840
2015,06,07,日,1602443
2015,06,08,一,1923407
2015,06,09,二,1957916
2015,06,10,三,1996798
2015,06,11,四,2007356
2015,06,12,五,2188828
2015,06,13,六,2001983
2015,06,14,日,1625054
2015,06,15,一,1949529
2015,06,16,二,2006125
2015,06,17,三,2021431
2015,06,18,四,2112406
2015,06,19,五,1548038
2015,06,20,六,1365272
2015,06,21,日,1406174
2015,06,22,一,1921572
2015,06,23,二,1963001
2015,06,24,三,2004488
2015,06,25,四,2055584
2015,06,26,五,2212425
2015,06,27,六,1933774
2015,06,28,日,1570847
2015,06,29,一,1962023
2015,06,30,二,2099628
