西元年,月,日,星期,總運量
2018,12,01,六,2207301
2018,12,02,日,1898683
2018,12,03,一,2177410
2018,12,04,二,2216541
2018,12,05,三,2242309
2018,12,06,四,2273687
2018,12,07,五,2533863
2018,12,08,六,2310004
2018,12,09,日,1916109
2018,12,10,一,2226145
2018,12,11,二,2243604
2018,12,12,三,2274762
2018,12,13,四,2319605
2018,12,14,五,2562165
2018,12,15,六,2460715
2018,12,16,日,1994530
2018,12,17,一,2239116
2018,12,18,二,2285329
2018,12,19,三,2321389
2018,12,20,四,2344458
2018,12,21,五,2480222
2018,12,22,六,2414510
2018,12,23,日,1931005
2018,12,24,一,2396806
2018,12,25,二,2419527
2018,12,26,三,2353220
2018,12,27,四,2382990
2018,12,28,五,2556038
2018,12,29,六,2089333
2018,12,30,日,1991755
2018,12,31,一,2500014
