西元年,月,日,星期,總運量
2019,08,01,四,2263609
2019,08,02,五,2400949
2019,08,03,六,2107717
2019,08,04,日,1760848
2019,08,05,一,2204133
2019,08,06,二,2268297
2019,08,07,三,2305404
2019,08,08,四,2088700
2019,08,09,五,814909
2019,08,10,六,1975405
2019,08,11,日,1741166
2019,08,12,一,2248786
2019,08,13,二,2293653
2019,08,14,三,2279835
2019,08,15,四,2200823
2019,08,16,五,2428999
2019,08,17,六,2037193
2019,08,18,日,1695698
2019,08,19,一,2199921
2019,08,20,二,2253664
2019,08,21,三,2234508
2019,08,22,四,2297438
2019,08,23,五,2425579
2019,08,24,六,1728195
2019,08,25,日,1701143
2019,08,26,一,2182579
2019,08,27,二,2231373
2019,08,28,三,2244299
2019,08,29,四,2188576
2019,08,30,五,2312255
2019,08,31,六,1951699
