西元年,月,日,星期,總運量
2018,06,01,五,2364411
2018,06,02,六,1926201
2018,06,03,日,1649380
2018,06,04,一,2063115
2018,06,05,二,2147953
2018,06,06,三,2173023
2018,06,07,四,2207710
2018,06,08,五,2387155
2018,06,09,六,2075195
2018,06,10,日,1680390
2018,06,11,一,2109647
2018,06,12,二,2167642
2018,06,13,三,2156409
2018,06,14,四,2171239
2018,06,15,五,2372389
2018,06,16,六,1836201
2018,06,17,日,1651627
2018,06,18,一,1292320
2018,06,19,二,2128135
2018,06,20,三,2144629
2018,06,21,四,2166846
2018,06,22,五,2299696
2018,06,23,六,1879484
2018,06,24,日,1561289
2018,06,25,一,2059105
2018,06,26,二,2120325
2018,06,27,三,2153432
2018,06,28,四,2202663
2018,06,29,五,2413304
2018,06,30,六,1943107
