西元年,月,日,星期,總運量
2016,07,01,五,2231306
2016,07,02,六,1829985
2016,07,03,日,1640386
2016,07,04,一,2053298
2016,07,05,二,2101983
2016,07,06,三,2155775
2016,07,07,四,1922765
2016,07,08,五,612520
2016,07,09,六,1826588
2016,07,10,日,1639536
2016,07,11,一,2112239
2016,07,12,二,2139596
2016,07,13,三,2137249
2016,07,14,四,2139774
2016,07,15,五,2265432
2016,07,16,六,1979353
2016,07,17,日,1665041
2016,07,18,一,2022423
2016,07,19,二,2085492
2016,07,20,三,2100772
2016,07,21,四,2135509
2016,07,22,五,2255931
2016,07,23,六,1963725
2016,07,24,日,1656870
2016,07,25,一,2020502
2016,07,26,二,2078489
2016,07,27,三,2109408
2016,07,28,四,2107261
2016,07,29,五,2243133
2016,07,30,六,1912883
2016,07,31,日,1668929
