西元年,月,日,星期,總運量
2017,02,01,三,1565485
2017,02,02,四,1990640
2017,02,03,五,2161128
2017,02,04,六,1994773
2017,02,05,日,1711749
2017,02,06,一,2145657
2017,02,07,二,2205460
2017,02,08,三,2247330
2017,02,09,四,2180141
2017,02,10,五,2360414
2017,02,11,六,2101629
2017,02,12,日,1828262
2017,02,13,一,2101904
2017,02,14,二,2165802
2017,02,15,三,2132593
2017,02,16,四,2141177
2017,02,17,五,2268409
2017,02,18,六,2228255
2017,02,19,日,1861147
2017,02,20,一,2126807
2017,02,21,二,2152463
2017,02,22,三,2140162
2017,02,23,四,2154013
2017,02,24,五,2345214
2017,02,25,六,1807223
2017,02,26,日,1721436
2017,02,27,一,1852627
2017,02,28,二,1615869
