西元年,月,日,星期,總運量
2015,08,01,六,1889055
2015,08,02,日,1619236
2015,08,03,一,1974161
2015,08,04,二,2019424
2015,08,05,三,2075561
2015,08,06,四,2098273
2015,08,07,五,1723750
2015,08,08,六,418145
2015,08,09,日,1599329
2015,08,10,一,2051206
2015,08,11,二,2102735
2015,08,12,三,2116807
2015,08,13,四,2076236
2015,08,14,五,2225728
2015,08,15,六,2020878
2015,08,16,日,1697682
2015,08,17,一,2001124
2015,08,18,二,2043688
2015,08,19,三,2099317
2015,08,20,四,2112100
2015,08,21,五,2129921
2015,08,22,六,1694436
2015,08,23,日,1404687
2015,08,24,一,1980190
2015,08,25,二,2057150
2015,08,26,三,2093854
2015,08,27,四,2022706
2015,08,28,五,2059565
2015,08,29,六,1893035
2015,08,30,日,1640215
2015,08,31,一,1955864
