西元年,月,日,星期,總運量
2015,11,01,日,1671763
2015,11,02,一,1998234
2015,11,03,二,2013795
2015,11,04,三,2046859
2015,11,05,四,2074025
2015,11,06,五,2272849
2015,11,07,六,2060447
2015,11,08,日,1717293
2015,11,09,一,2004411
2015,11,10,二,2029280
2015,11,11,三,2057982
2015,11,12,四,2106202
2015,11,13,五,2330583
2015,11,14,六,2128618
2015,11,15,日,1811585
2015,11,16,一,2058469
2015,11,17,二,2047236
2015,11,18,三,2092090
2015,11,19,四,2096812
2015,11,20,五,2303473
2015,11,21,六,2018972
2015,11,22,日,1777061
2015,11,23,一,2027454
2015,11,24,二,2033092
2015,11,25,三,2068603
2015,11,26,四,2096030
2015,11,27,五,2276186
2015,11,28,六,2013730
2015,11,29,日,1692555
2015,11,30,一,1983381
