西元年,月,日,星期,總運量
2015,10,01,四,2077459
2015,10,02,五,2271503
2015,10,03,六,2010513
2015,10,04,日,1679532
2015,10,05,一,2037441
2015,10,06,二,2085377
2015,10,07,三,2094563
2015,10,08,四,2234838
2015,10,09,五,1708022
2015,10,10,六,1746278
2015,10,11,日,1569192
2015,10,12,一,1979908
2015,10,13,二,2022616
2015,10,14,三,2058401
2015,10,15,四,2074445
2015,10,16,五,2252187
2015,10,17,六,2046525
2015,10,18,日,1743384
2015,10,19,一,1978958
2015,10,20,二,2031443
2015,10,21,三,2060621
2015,10,22,四,2086785
2015,10,23,五,2284367
2015,10,24,六,2006749
2015,10,25,日,1781784
2015,10,26,一,1974472
2015,10,27,二,2021286
2015,10,28,三,2050430
2015,10,29,四,2050111
2015,10,30,五,2251752
2015,10,31,六,2025217
