西元年,月,日,星期,總運量
2024,03,01,五,2345271
2024,03,02,六,1772725
2024,03,03,日,1566939
2024,03,04,一,2151650
2024,03,05,二,2229595
2024,03,06,三,2223804
2024,03,07,四,2223545
2024,03,08,五,2446862
2024,03,09,六,1910916
2024,03,10,日,1595092
2024,03,11,一,2142941
2024,03,12,二,2246921
2024,03,13,三,2243736
2024,03,14,四,2257124
2024,03,15,五,2427878
2024,03,16,六,1978975
2024,03,17,日,1663197
2024,03,18,一,2136705
2024,03,19,二,2179850
2024,03,20,三,2241858
2024,03,21,四,2236708
2024,03,22,五,2396694
2024,03,23,六,1898846
2024,03,24,日,1553725
2024,03,25,一,2120948
2024,03,26,二,2194245
2024,03,27,三,2243044
2024,03,28,四,2259013
2024,03,29,五,2400389
2024,03,30,六,1867490
2024,03,31,日,1471619
