西元年,月,日,星期,總運量
2016,03,01,二,2070860
2016,03,02,三,2120446
2016,03,03,四,2125366
2016,03,04,五,2326502
2016,03,05,六,2091533
2016,03,06,日,1756332
2016,03,07,一,2046756
2016,03,08,二,2093281
2016,03,09,三,2122383
2016,03,10,四,2176204
2016,03,11,五,2395222
2016,03,12,六,2035270
2016,03,13,日,1770284
2016,03,14,一,2075900
2016,03,15,二,2110896
2016,03,16,三,2147097
2016,03,17,四,2144348
2016,03,18,五,2357983
2016,03,19,六,1944280
2016,03,20,日,1734132
2016,03,21,一,2113011
2016,03,22,二,2124121
2016,03,23,三,2177955
2016,03,24,四,2192311
2016,03,25,五,2430700
2016,03,26,六,2144020
2016,03,27,日,1765097
2016,03,28,一,2119715
2016,03,29,二,2115928
2016,03,30,三,2124315
2016,03,31,四,2142034
