西元年,月,日,星期,總運量
2016,01,01,五,1873454
2016,01,02,六,1846862
2016,01,03,日,1507044
2016,01,04,一,1991063
2016,01,05,二,2044627
2016,01,06,三,2083830
2016,01,07,四,2086100
2016,01,08,五,2272659
2016,01,09,六,2028194
2016,01,10,日,1638885
2016,01,11,一,2038895
2016,01,12,二,2062860
2016,01,13,三,2088213
2016,01,14,四,2132908
2016,01,15,五,2358448
2016,01,16,六,1734775
2016,01,17,日,1489059
2016,01,18,一,2051236
2016,01,19,二,2090992
2016,01,20,三,2240207
2016,01,21,四,2148132
2016,01,22,五,2308657
2016,01,23,六,1862081
2016,01,24,日,1581829
2016,01,25,一,2035606
2016,01,26,二,2164421
2016,01,27,三,2165515
2016,01,28,四,2164245
2016,01,29,五,2285823
2016,01,30,六,2250688
2016,01,31,日,1863818
