西元年,月,日,星期,總運量
2023,03,01,三,2070020
2023,03,02,四,2073903
2023,03,03,五,2255460
2023,03,04,六,1776861
2023,03,05,日,1517231
2023,03,06,一,2062647
2023,03,07,二,2123173
2023,03,08,三,2154368
2023,03,09,四,2146797
2023,03,10,五,2332497
2023,03,11,六,1891975
2023,03,12,日,1519673
2023,03,13,一,2024246
2023,03,14,二,2107021
2023,03,15,三,2144262
2023,03,16,四,2128530
2023,03,17,五,2289945
2023,03,18,六,1798121
2023,03,19,日,1485378
2023,03,20,一,2022732
2023,03,21,二,2095487
2023,03,22,三,2122303
2023,03,23,四,2129856
2023,03,24,五,2239436
2023,03,25,六,2069842
2023,03,26,日,1401705
2023,03,27,一,2040569
2023,03,28,二,2088627
2023,03,29,三,2123107
2023,03,30,四,2113722
2023,03,31,五,2255993
