西元年,月,日,星期,總運量
2023,11,01,三,2136324
2023,11,02,四,2149691
2023,11,03,五,2356084
2023,11,04,六,1959567
2023,11,05,日,1603673
2023,11,06,一,2066673
2023,11,07,二,2122120
2023,11,08,三,2151645
2023,11,09,四,2196279
2023,11,10,五,2382715
2023,11,11,六,2014300
2023,11,12,日,1608643
2023,11,13,一,2091361
2023,11,14,二,2162534
2023,11,15,三,2213135
2023,11,16,四,2202407
2023,11,17,五,2432571
2023,11,18,六,2055608
2023,11,19,日,1689424
2023,11,20,一,2147584
2023,11,21,二,2164081
2023,11,22,三,2182364
2023,11,23,四,2207189
2023,11,24,五,2388018
2023,11,25,六,1937272
2023,11,26,日,1533824
2023,11,27,一,2090700
2023,11,28,二,2167573
2023,11,29,三,2195575
2023,11,30,四,2231905
