西元年,月,日,星期,總運量
2023,04,01,六,1526928
2023,04,02,日,1536733
2023,04,03,一,1575868
2023,04,04,二,1488390
2023,04,05,三,1246204
2023,04,06,四,2030171
2023,04,07,五,2192073
2023,04,08,六,1732170
2023,04,09,日,1442672
2023,04,10,一,2046672
2023,04,11,二,2095812
2023,04,12,三,2137043
2023,04,13,四,2128924
2023,04,14,五,2293314
2023,04,15,六,1716643
2023,04,16,日,1552740
2023,04,17,一,2020583
2023,04,18,二,2078833
2023,04,19,三,2083579
2023,04,20,四,2087112
2023,04,21,五,2275774
2023,04,22,六,1837257
2023,04,23,日,1556359
2023,04,24,一,2004865
2023,04,25,二,2080363
2023,04,26,三,2097289
2023,04,27,四,2134974
2023,04,28,五,2301429
2023,04,29,六,1808129
2023,04,30,日,1575665
