西元年,月,日,星期,總運量
2018,04,01,日,1697619
2018,04,02,一,2071359
2018,04,03,二,2189626
2018,04,04,三,1697997
2018,04,05,四,1522905
2018,04,06,五,1694341
2018,04,07,六,1744916
2018,04,08,日,1645586
2018,04,09,一,2056059
2018,04,10,二,2110370
2018,04,11,三,2145962
2018,04,12,四,2147178
2018,04,13,五,2349624
2018,04,14,六,1989513
2018,04,15,日,1653740
2018,04,16,一,2105224
2018,04,17,二,2174733
2018,04,18,三,2177685
2018,04,19,四,2186498
2018,04,20,五,2372013
2018,04,21,六,2085381
2018,04,22,日,1762073
2018,04,23,一,2093310
2018,04,24,二,2123145
2018,04,25,三,2218000
2018,04,26,四,2235603
2018,04,27,五,2398307
2018,04,28,六,2073450
2018,04,29,日,1769243
2018,04,30,一,2173731
