西元年,月,日,星期,總運量
2016,02,01,一,2170556
2016,02,02,二,2212891
2016,02,03,三,2231390
2016,02,04,四,2200381
2016,02,05,五,2120625
2016,02,06,六,1266416
2016,02,07,日,796923
2016,02,08,一,1335813
2016,02,09,二,1378436
2016,02,10,三,1643528
2016,02,11,四,1679013
2016,02,12,五,1827352
2016,02,13,六,1904232
2016,02,14,日,1571141
2016,02,15,一,2028640
2016,02,16,二,2085919
2016,02,17,三,2136856
2016,02,18,四,2158920
2016,02,19,五,2311918
2016,02,20,六,2115034
2016,02,21,日,1884439
2016,02,22,一,2140084
2016,02,23,二,2143574
2016,02,24,三,2173495
2016,02,25,四,2171076
2016,02,26,五,2380611
2016,02,27,六,1942140
2016,02,28,日,2123822
2016,02,29,一,1745717
