西元年,月,日,星期,總運量
2023,05,01,一,1636575
2023,05,02,二,2073009
2023,05,03,三,2115944
2023,05,04,四,2134354
2023,05,05,五,2295530
2023,05,06,六,1815619
2023,05,07,日,1387511
2023,05,08,一,2020296
2023,05,09,二,2082285
2023,05,10,三,2117410
2023,05,11,四,2128706
2023,05,12,五,2304155
2023,05,13,六,1659583
2023,05,14,日,1385422
2023,05,15,一,2009958
2023,05,16,二,2060572
2023,05,17,三,2080355
2023,05,18,四,2098389
2023,05,19,五,2285127
2023,05,20,六,1794400
2023,05,21,日,1528584
2023,05,22,一,2022062
2023,05,23,二,1980822
2023,05,24,三,2046246
2023,05,25,四,2043912
2023,05,26,五,2207620
2023,05,27,六,1797204
2023,05,28,日,1441174
2023,05,29,一,1955135
2023,05,30,二,2022702
2023,05,31,三,1979630
