西元年,月,日,星期,總運量
2024,05,01,三,1707706
2024,05,02,四,2177867
2024,05,03,五,2392227
2024,05,04,六,1884123
2024,05,05,日,1557946
2024,05,06,一,2101983
2024,05,07,二,2147419
2024,05,08,三,2176481
2024,05,09,四,2200240
2024,05,10,五,2380934
2024,05,11,六,1798856
2024,05,12,日,1456869
2024,05,13,一,2076049
2024,05,14,二,2150762
2024,05,15,三,2214471
2024,05,16,四,2204654
2024,05,17,五,2394196
2024,05,18,六,1947076
2024,05,19,日,1608860
2024,05,20,一,2115236
2024,05,21,二,2149371
2024,05,22,三,2155124
2024,05,23,四,2182144
2024,05,24,五,2464956
2024,05,25,六,1950111
2024,05,26,日,1575129
2024,05,27,一,2086463
2024,05,28,二,2171419
2024,05,29,三,2172604
2024,05,30,四,2171388
2024,05,31,五,2333623
