西元年,月,日,星期,總運量
2023,09,01,五,2171144
2023,09,02,六,1488748
2023,09,03,日,1042421
2023,09,04,一,1937294
2023,09,05,二,2053824
2023,09,06,三,2108819
2023,09,07,四,2139966
2023,09,08,五,2276015
2023,09,09,六,1821806
2023,09,10,日,1514390
2023,09,11,一,2042488
2023,09,12,二,2092672
2023,09,13,三,2109429
2023,09,14,四,2118043
2023,09,15,五,2305635
2023,09,16,六,1916132
2023,09,17,日,1537767
2023,09,18,一,2038046
2023,09,19,二,2097185
2023,09,20,三,2146495
2023,09,21,四,2123106
2023,09,22,五,2252621
2023,09,23,六,2100196
2023,09,24,日,1508552
2023,09,25,一,2066059
2023,09,26,二,2154927
2023,09,27,三,2204852
2023,09,28,四,2268584
2023,09,29,五,1396582
2023,09,30,六,1522092
