西元年,月,日,星期,總運量
2017,09,01,五,2177430
2017,09,02,六,1751825
2017,09,03,日,1452237
2017,09,04,一,2001400
2017,09,05,二,1975158
2017,09,06,三,2082879
2017,09,07,四,2091018
2017,09,08,五,2224758
2017,09,09,六,1892813
2017,09,10,日,1609654
2017,09,11,一,2039617
2017,09,12,二,2081061
2017,09,13,三,1962736
2017,09,14,四,2000767
2017,09,15,五,2265537
2017,09,16,六,1958080
2017,09,17,日,1648912
2017,09,18,一,2035911
2017,09,19,二,2079426
2017,09,20,三,2118687
2017,09,21,四,2118031
2017,09,22,五,2310041
2017,09,23,六,1966757
2017,09,24,日,1631419
2017,09,25,一,2041082
2017,09,26,二,2070263
2017,09,27,三,2113775
2017,09,28,四,2127970
2017,09,29,五,2263204
2017,09,30,六,2158819
