西元年,月,日,星期,總運量
2017,11,01,三,2106642
2017,11,02,四,2108336
2017,11,03,五,2330453
2017,11,04,六,1980204
2017,11,05,日,1706837
2017,11,06,一,2073916
2017,11,07,二,2103804
2017,11,08,三,2139482
2017,11,09,四,2175244
2017,11,10,五,2378619
2017,11,11,六,2078842
2017,11,12,日,1768317
2017,11,13,一,2106753
2017,11,14,二,2128134
2017,11,15,三,2157499
2017,11,16,四,2186137
2017,11,17,五,2412377
2017,11,18,六,2061167
2017,11,19,日,1760429
2017,11,20,一,2154683
2017,11,21,二,2130567
2017,11,22,三,2151193
2017,11,23,四,2186415
2017,11,24,五,2397856
2017,11,25,六,1962615
2017,11,26,日,1704054
2017,11,27,一,2087442
2017,11,28,二,2148358
2017,11,29,三,2172127
2017,11,30,四,2175459
