西元年,月,日,星期,總運量
2017,03,01,三,2088893
2017,03,02,四,2084461
2017,03,03,五,2287419
2017,03,04,六,2012231
2017,03,05,日,1770122
2017,03,06,一,2101708
2017,03,07,二,2150048
2017,03,08,三,2203459
2017,03,09,四,2198453
2017,03,10,五,2400005
2017,03,11,六,2100336
2017,03,12,日,1831527
2017,03,13,一,2129534
2017,03,14,二,2168801
2017,03,15,三,2175622
2017,03,16,四,2212951
2017,03,17,五,2396654
2017,03,18,六,2118684
2017,03,19,日,1720963
2017,03,20,一,2081692
2017,03,21,二,2129987
2017,03,22,三,2182418
2017,03,23,四,2203776
2017,03,24,五,2401878
2017,03,25,六,1975025
2017,03,26,日,1655470
2017,03,27,一,2102268
2017,03,28,二,2143971
2017,03,29,三,2266744
2017,03,30,四,2173960
2017,03,31,五,2329942
