西元年,月,日,星期,總運量
2017,01,01,日,1884302
2017,01,02,一,1613142
2017,01,03,二,2086078
2017,01,04,三,2102464
2017,01,05,四,2121532
2017,01,06,五,2315537
2017,01,07,六,1939773
2017,01,08,日,1569850
2017,01,09,一,2045798
2017,01,10,二,2089558
2017,01,11,三,2114674
2017,01,12,四,2138719
2017,01,13,五,2360351
2017,01,14,六,1934888
2017,01,15,日,1659418
2017,01,16,一,2086633
2017,01,17,二,2137437
2017,01,18,三,2155254
2017,01,19,四,2302054
2017,01,20,五,2369498
2017,01,21,六,2014707
2017,01,22,日,1832823
2017,01,23,一,2204738
2017,01,24,二,2242085
2017,01,25,三,2172966
2017,01,26,四,1902063
2017,01,27,五,791835
2017,01,28,六,1368910
2017,01,29,日,1408008
2017,01,30,一,1458457
2017,01,31,二,1611514
