西元年,月,日,星期,總運量
2016,06,01,三,2085241
2016,06,02,四,2057406
2016,06,03,五,2217653
2016,06,04,六,2141420
2016,06,05,日,1628951
2016,06,06,一,2009914
2016,06,07,二,2060645
2016,06,08,三,2206745
2016,06,09,四,1383568
2016,06,10,五,1644107
2016,06,11,六,1656988
2016,06,12,日,1545124
2016,06,13,一,1998527
2016,06,14,二,2020762
2016,06,15,三,2087579
2016,06,16,四,2082883
2016,06,17,五,2238000
2016,06,18,六,1919994
2016,06,19,日,1633198
2016,06,20,一,2000513
2016,06,21,二,2052881
2016,06,22,三,2097523
2016,06,23,四,2102941
2016,06,24,五,2274718
2016,06,25,六,1938883
2016,06,26,日,1588645
2016,06,27,一,2004035
2016,06,28,二,2006246
2016,06,29,三,2072423
2016,06,30,四,2185900
