西元年,月,日,星期,總運量
2019,12,01,日,1916245
2019,12,02,一,2246715
2019,12,03,二,2321440
2019,12,04,三,2343301
2019,12,05,四,2369944
2019,12,06,五,2612924
2019,12,07,六,2263701
2019,12,08,日,2037952
2019,12,09,一,2301139
2019,12,10,二,2351082
2019,12,11,三,2374416
2019,12,12,四,2417589
2019,12,13,五,2655283
2019,12,14,六,2522817
2019,12,15,日,2161202
2019,12,16,一,2339050
2019,12,17,二,2373567
2019,12,18,三,2397127
2019,12,19,四,2409075
2019,12,20,五,2668231
2019,12,21,六,2341312
2019,12,22,日,1964639
2019,12,23,一,2383457
2019,12,24,二,2476680
2019,12,25,三,2520902
2019,12,26,四,2466352
2019,12,27,五,2658619
2019,12,28,六,2298630
2019,12,29,日,1777124
2019,12,30,一,2469682
2019,12,31,二,3206078
