西元年,月,日,星期,總運量
2018,03,01,四,2209721
2018,03,02,五,2372185
2018,03,03,六,2193043
2018,03,04,日,1763921
2018,03,05,一,2127286
2018,03,06,二,2173145
2018,03,07,三,2210099
2018,03,08,四,2236563
2018,03,09,五,2422478
2018,03,10,六,2164494
2018,03,11,日,1853987
2018,03,12,一,2152647
2018,03,13,二,2194164
2018,03,14,三,2228608
2018,03,15,四,2245142
2018,03,16,五,2453438
2018,03,17,六,2131707
2018,03,18,日,1871538
2018,03,19,一,2161485
2018,03,20,二,2170415
2018,03,21,三,2209852
2018,03,22,四,2223826
2018,03,23,五,2418726
2018,03,24,六,2112760
2018,03,25,日,1748948
2018,03,26,一,2136608
2018,03,27,二,2184449
2018,03,28,三,2206511
2018,03,29,四,2225796
2018,03,30,五,2321120
2018,03,31,六,2234177
