西元年,月,日,星期,總運量
2023,08,01,二,2000523
2023,08,02,三,2016882
2023,08,03,四,506181
2023,08,04,五,2116040
2023,08,05,六,1713064
2023,08,06,日,1448627
2023,08,07,一,2008178
2023,08,08,二,2025572
2023,08,09,三,2100614
2023,08,10,四,2092183
2023,08,11,五,2201998
2023,08,12,六,1803215
2023,08,13,日,1521035
2023,08,14,一,2009998
2023,08,15,二,2070371
2023,08,16,三,2022045
2023,08,17,四,2048112
2023,08,18,五,2216597
2023,08,19,六,1822579
2023,08,20,日,1563169
2023,08,21,一,1998115
2023,08,22,二,2057049
2023,08,23,三,2077732
2023,08,24,四,2092046
2023,08,25,五,2205638
2023,08,26,六,1736877
2023,08,27,日,1434871
2023,08,28,一,1963252
2023,08,29,二,1976314
2023,08,30,三,1949764
2023,08,31,四,2040717
