西元年,月,日,星期,總運量
2019,03,01,五,2046878
2019,03,02,六,2055351
2019,03,03,日,1541049
2019,03,04,一,2187528
2019,03,05,二,2253218
2019,03,06,三,2276962
2019,03,07,四,2308495
2019,03,08,五,2532508
2019,03,09,六,2047649
2019,03,10,日,1705560
2019,03,11,一,2234324
2019,03,12,二,2298293
2019,03,13,三,2307463
2019,03,14,四,2301836
2019,03,15,五,2533921
2019,03,16,六,2185367
2019,03,17,日,1865367
2019,03,18,一,2243896
2019,03,19,二,2261202
2019,03,20,三,2282430
2019,03,21,四,2288102
2019,03,22,五,2472357
2019,03,23,六,2052710
2019,03,24,日,1665625
2019,03,25,一,2192137
2019,03,26,二,2276154
2019,03,27,三,2304978
2019,03,28,四,2319606
2019,03,29,五,2470642
2019,03,30,六,2077896
2019,03,31,日,1689492
