西元年,月,日,星期,總運量
2015,07,01,三,2019721
2015,07,02,四,2018111
2015,07,03,五,2140847
2015,07,04,六,1875436
2015,07,05,日,1633331
2015,07,06,一,2037252
2015,07,07,二,2014158
2015,07,08,三,2012914
2015,07,09,四,2010901
2015,07,10,五,742323
2015,07,11,六,1818059
2015,07,12,日,1656037
2015,07,13,一,2040895
2015,07,14,二,2053764
2015,07,15,三,2076546
2015,07,16,四,2065867
2015,07,17,五,2193097
2015,07,18,六,1967738
2015,07,19,日,1657381
2015,07,20,一,1981520
2015,07,21,二,2006147
2015,07,22,三,2031714
2015,07,23,四,1993977
2015,07,24,五,2165129
2015,07,25,六,1919578
2015,07,26,日,1653013
2015,07,27,一,1944393
2015,07,28,二,2014723
2015,07,29,三,2051719
2015,07,30,四,2029663
2015,07,31,五,2168777
