西元年,月,日,星期,總運量
2015,09,01,二,1959545
2015,09,02,三,2002423
2015,09,03,四,2033770
2015,09,04,五,2178670
2015,09,05,六,1914113
2015,09,06,日,1636131
2015,09,07,一,1983873
2015,09,08,二,2020302
2015,09,09,三,2031625
2015,09,10,四,2053844
2015,09,11,五,2198038
2015,09,12,六,2005731
2015,09,13,日,1697950
2015,09,14,一,2028392
2015,09,15,二,2045651
2015,09,16,三,2049277
2015,09,17,四,2036907
2015,09,18,五,2224876
2015,09,19,六,1996811
2015,09,20,日,1716051
2015,09,21,一,2000623
2015,09,22,二,2036969
2015,09,23,三,2057760
2015,09,24,四,2069696
2015,09,25,五,2273736
2015,09,26,六,1703801
2015,09,27,日,1312132
2015,09,28,一,685240
2015,09,29,二,1129016
2015,09,30,三,2055236
