西元年,月,日,星期,總運量
2016,10,01,六,2027313
2016,10,02,日,1682509
2016,10,03,一,2077398
2016,10,04,二,2120151
2016,10,05,三,2156306
2016,10,06,四,2166085
2016,10,07,五,2374093
2016,10,08,六,1848146
2016,10,09,日,1594762
2016,10,10,一,1533029
2016,10,11,二,2122463
2016,10,12,三,2162674
2016,10,13,四,2172968
2016,10,14,五,2375774
2016,10,15,六,2095274
2016,10,16,日,1770802
2016,10,17,一,2054087
2016,10,18,二,2095013
2016,10,19,三,2118438
2016,10,20,四,2118636
2016,10,21,五,2300375
2016,10,22,六,1993385
2016,10,23,日,1718588
2016,10,24,一,2055085
2016,10,25,二,1897025
2016,10,26,三,2108092
2016,10,27,四,2116422
2016,10,28,五,2307124
2016,10,29,六,2043614
2016,10,30,日,1757436
2016,10,31,一,1839311
