西元年,月,日,星期,總運量
2023,06,01,四,2031673
2023,06,02,五,2198413
2023,06,03,六,1676624
2023,06,04,日,1318584
2023,06,05,一,1940470
2023,06,06,二,1994582
2023,06,07,三,2001247
2023,06,08,四,2012483
2023,06,09,五,2162292
2023,06,10,六,1683938
2023,06,11,日,1376169
2023,06,12,一,1932948
2023,06,13,二,1995095
2023,06,14,三,2045434
2023,06,15,四,2044647
2023,06,16,五,2117225
2023,06,17,六,1953359
2023,06,18,日,1384960
2023,06,19,一,1915452
2023,06,20,二,1974660
2023,06,21,三,2038308
2023,06,22,四,1174526
2023,06,23,五,1329754
2023,06,24,六,1421177
2023,06,25,日,1248404
2023,06,26,一,1881823
2023,06,27,二,1949355
2023,06,28,三,1978034
2023,06,29,四,2013353
2023,06,30,五,2192205
