西元年,月,日,星期,總運量
2018,09,01,六,1876143
2018,09,02,日,1593331
2018,09,03,一,2103229
2018,09,04,二,2106183
2018,09,05,三,2134851
2018,09,06,四,2163596
2018,09,07,五,2306418
2018,09,08,六,1851644
2018,09,09,日,1481143
2018,09,10,一,2151451
2018,09,11,二,2190699
2018,09,12,三,2191163
2018,09,13,四,2205266
2018,09,14,五,2372248
2018,09,15,六,1901598
2018,09,16,日,1639270
2018,09,17,一,2141871
2018,09,18,二,2175866
2018,09,19,三,2199273
2018,09,20,四,2219427
2018,09,21,五,2414691
2018,09,22,六,1798490
2018,09,23,日,1576070
2018,09,24,一,1374677
2018,09,25,二,2163935
2018,09,26,三,2221276
2018,09,27,四,2249922
2018,09,28,五,2384178
2018,09,29,六,1930891
2018,09,30,日,1750079
