西元年,月,日,星期,總運量
2024,02,01,四,2224040
2024,02,02,五,2326691
2024,02,03,六,1834143
2024,02,04,日,1560851
2024,02,05,一,2133470
2024,02,06,二,2158554
2024,02,07,三,2076028
2024,02,08,四,1179782
2024,02,09,五,743623
2024,02,10,六,1278323
2024,02,11,日,1382946
2024,02,12,一,1510143
2024,02,13,二,1565042
2024,02,14,三,1534807
2024,02,15,四,1986383
2024,02,16,五,2085342
2024,02,17,六,2118114
2024,02,18,日,1581228
2024,02,19,一,2104925
2024,02,20,二,2179250
2024,02,21,三,2201190
2024,02,22,四,2221289
2024,02,23,五,2436989
2024,02,24,六,2038079
2024,02,25,日,1688881
2024,02,26,一,2122246
2024,02,27,二,2285968
2024,02,28,三,1723554
2024,02,29,四,2247858
