西元年,月,日,星期,總運量
2019,09,01,日,1623798
2019,09,02,一,2138424
2019,09,03,二,2197072
2019,09,04,三,2176799
2019,09,05,四,2218142
2019,09,06,五,2424273
2019,09,07,六,2027949
2019,09,08,日,1791084
2019,09,09,一,2217165
2019,09,10,二,2275866
2019,09,11,三,2313030
2019,09,12,四,2432772
2019,09,13,五,1546868
2019,09,14,六,1683910
2019,09,15,日,1512205
2019,09,16,一,2193878
2019,09,17,二,2253288
2019,09,18,三,2281347
2019,09,19,四,2309953
2019,09,20,五,2533218
2019,09,21,六,2022528
2019,09,22,日,1773481
2019,09,23,一,2213270
2019,09,24,二,2251458
2019,09,25,三,2287557
2019,09,26,四,2300313
2019,09,27,五,2479753
2019,09,28,六,1965804
2019,09,29,日,1770248
2019,09,30,一,701836
